,12A,12M,12S,15M,15S,25A,,
,MFG's Packing list Totals,,,,,,,
,933,176,176,268,268,137,,
,Total Tested,,,,,,,
,243,0,0,268,175,113,,
,Total Good,,,,,,,
,239,0,0,268,175,113,,
,Total in Storage (excluding CCMs taken out for use elsewhere),,,,,,,
,193,0,0,240,135,89,,
Roll ID,Location,CCM Type,Master or Slave,Original # of CCMs in Roll,Good CCMs in Roll,"CCMs being used (LVR QA, etc)",CCM Usage (what CCMs being used for),Other comments
15M1,UMD,1.5,Master,12,12,,,
15M2,UMD,1.5,Master,12,12,,,
15M3,UMD,1.5,Master,12,12,,,
15M4,UMD,1.5,Master,7,7,,,
15M5,UMD,1.5,Master,12,12,4,LVR QA,
15M6,UMD,1.5,Master,12,12,,,
15M7,UMD,1.5,Master,12,12,,,
15M8,UMD,1.5,Master,12,12,,,
15M9,UMD,1.5,Master,12,12,,,
15M10,UMD,1.5,Master,12,12,,,
15M11,UMD,1.5,Master,12,12,,,
15M12,UMD,1.5,Master,12,12,,,
15M13,UMD,1.5,Master,12,12,,,
15M14,UMD,1.5,Master,12,12,,,
15M15,UMD,1.5,Master,12,12,,,
15M16,UMD,1.5,Master,9,9,,,
15M17,UMD,1.5,Master,12,12,,,
15M18,UMD,1.5,Master,12,12,,,
15M19,UMD,1.5,Master,12,12,,,
15M20,UMD,1.5,Master,12,12,,,
15M21,UMD,1.5,Master,12,12,12,LVR Burn-In,
15M22,UMD,1.5,Master,12,12,12,LVR Burn-In,
15M23,UMD,1.5,Master,12,12,,,
15S1,UMD,1.5,Slave,12,12,,,
15S2,UMD,1.5,Slave,12,12,,,
15S3,UMD,1.5,Slave,12,12,,,
15S4,UMD,1.5,Slave,12,12,,,
15S5,UMD,1.5,Slave,12,12,4,LVR QA,
15S6,UMD,1.5,Slave,12,12,,,
15S7,UMD,1.5,Slave,12,12,,,
15S8,UMD,1.5,Slave,12,12,12,LVR Burn-In,
15S9,UMD,1.5,Slave,7,7,,,
15S10,UMD,1.5,Slave,12,12,,,
15S11,UMD,1.5,Slave,12,12,12,LVR Burn-In,
15S12,UMD,1.5,Slave,12,12,,,
15S13,UMD,1.5,Slave,12,12,12,LVR Burn-In,
15S14,UMD,1.5,Slave,12,12,,,
15S15,UMD,1.5,Slave,12,12,,,
15S16,UMD,1.5,Slave,,,,,
15S17,UMD,,,,,,,
15S18,UMD,,,,,,,
15S19,UMD,,,,,,,
15S20,UMD,,,,,,,
15S21,UMD,,,,,,,
15S22,UMD,,,,,,,
,UMD,,,,,,,
,UMD,,,,,,,
,UMD,,,,,,,
,UMD,,,,,,,
,UMD,,,,,,,
,UMD,,,,,,,
,UMD,,,,,,,
,UMD,,,,,,,
12A1,UMD,1.2,Alone,12,12,,,
12A2,UMD,1.2,Alone,12,12,,,
12A3,UMD,1.2,Alone,12,12,12,LVR Burn-In,
12A4,UMD,1.2,Alone,12,12,8,Burn in testing,
